"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","2.9","0.8","0.6","1.0","0.2","0.0","17.3","300.6","7.7"
"Denver Broncos","","2.6","0.9","0.5","0.7","0.2","0.0","17.1","310.2","7.4"
"Washington Commanders","","3.0","0.7","0.5","0.8","0.1","0.0","19.6","350.3","7.3"
"Arizona Cardinals","","2.7","0.8","0.5","0.7","0.1","0.0","18.0","323.9","7.2"
"New England Patriots","","2.7","0.8","0.5","0.6","0.1","0.0","18.5","337.8","6.9"
"Cincinnati Bengals","","2.4","0.8","0.5","0.7","0.1","0.0","19.5","339.8","6.9"
"Philadelphia Eagles","","2.3","0.9","0.6","1.0","0.2","0.0","20.8","350.4","6.2"
"Minnesota Vikings","","2.7","0.7","0.5","0.7","0.2","0.0","22.0","321.2","6.1"
"San Francisco 49ers","","2.7","0.8","0.5","0.8","0.1","0.0","22.3","345.1","6.1"
"Chicago Bears","","2.5","0.8","0.5","0.8","0.1","0.0","21.2","342.3","6.0"
"Los Angeles Rams","","2.7","0.7","0.5","0.8","0.1","0.0","21.1","359.1","5.9"
"Houston Texans","","2.4","0.8","0.5","0.7","0.2","0.0","23.0","338.9","5.8"
"Kansas City Chiefs","","2.4","0.7","0.5","0.7","0.2","0.0","22.5","344.9","5.7"
"New York Giants","","2.5","0.6","0.6","1.0","0.1","0.0","25.6","353.9","5.7"
"Tampa Bay Buccaneers","","2.3","0.8","0.5","0.9","0.1","0.0","22.7","353.4","5.7"
"Atlanta Falcons","","2.6","0.7","0.5","0.8","0.1","0.0","25.7","376.7","5.7"
"Seattle Seahawks","","2.3","0.7","0.5","0.8","0.1","0.0","22.2","367.4","5.6"
"Cleveland Browns","","2.7","0.6","0.5","0.7","0.1","0.0","25.4","359.8","5.6"
"Jacksonville Jaguars","","2.4","0.8","0.5","0.6","0.1","0.0","21.2","338.8","5.5"
"Miami Dolphins","","2.2","0.8","0.5","0.7","0.1","0.0","22.6","353.2","5.5"
"Dallas Cowboys","","2.5","0.6","0.5","0.8","0.1","0.0","27.2","361.1","5.5"
"Green Bay Packers","","2.1","0.7","0.5","0.8","0.1","0.0","24.6","379.0","5.5"
"Buffalo Bills","","2.2","0.6","0.6","0.9","0.1","0.0","26.1","384.0","5.5"
"Indianapolis Colts","","2.1","0.7","0.5","0.9","0.1","0.0","22.1","359.5","5.4"
"Detroit Lions","","2.0","0.8","0.5","0.6","0.2","0.0","24.1","334.1","5.4"
"Las Vegas Raiders","","2.3","0.7","0.5","0.7","0.1","0.0","22.9","357.0","5.3"
"Los Angeles Chargers","","2.1","0.7","0.4","0.7","0.1","0.0","24.5","369.4","5.2"
"Baltimore Ravens","","1.8","0.7","0.5","0.8","0.1","0.0","26.5","356.9","5.2"
"New York Jets","","2.2","0.7","0.4","0.6","0.1","0.0","20.2","327.0","5.1"
"Carolina Panthers","","2.0","0.7","0.4","0.6","0.1","0.0","23.8","372.2","4.8"
"New Orleans Saints","","2.0","0.6","0.4","0.5","0.1","0.0","23.6","362.8","4.6"
"Tennessee Titans","","2.0","0.6","0.4","0.8","0.1","0.0","24.6","356.3","4.6"
""
""
