"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Saquon Barkley","PHI","RB1","20.3","102.4","0.7","2.4","18.4","0.1","0.1","17.0"
"Bijan Robinson","ATL","RB2","17.2","80.0","0.7","3.3","25.7","0.1","0.1","15.2"
"Derrick Henry","BAL","RB3","17.8","90.3","0.8","1.0","9.3","0.1","0.1","15.1"
"Jahmyr Gibbs","DET","RB4","13.6","70.8","0.7","3.3","29.4","0.2","0.1","14.8"
"Christian McCaffrey","SF","RB5","14.9","69.0","0.5","4.2","34.4","0.2","0.1","14.5"
"Jonathan Taylor","IND","RB6","21.4","89.3","0.7","1.7","13.2","0.1","0.1","14.3"
"Bucky Irving","TB","RB7","15.6","71.6","0.5","3.1","23.4","0.1","0.1","13.3"
"Josh Jacobs","GB","RB8","16.8","69.3","0.6","2.5","18.8","0.1","0.1","13.1"
"Kyren Williams","LAR","RB9","18.0","74.7","0.7","2.1","13.9","0.1","0.1","13.1"
"De'Von Achane","MIA","RB10","12.7","59.3","0.5","4.2","31.4","0.2","0.1","12.9"
"Ja'Marr Chase","CIN","WR1","0.2","1.2","0.0","6.7","86.4","0.7","0.1","12.8"
"Ashton Jeanty","LV","RB11","15.8","68.6","0.4","3.0","22.6","0.1","0.1","12.3"
"Chase Brown","CIN","RB12","16.5","63.8","0.5","3.2","22.7","0.1","0.1","12.2"
"James Cook","BUF","RB13","14.2","62.8","0.6","2.2","17.2","0.1","0.1","12.0"
"Justin Jefferson","MIN","WR2","0.0","0.4","0.0","6.5","87.0","0.5","0.1","11.9"
"James Conner","ARI","RB14","14.5","62.7","0.6","2.4","18.0","0.1","0.1","11.7"
"Omarion Hampton","LAC","RB15","14.5","63.7","0.5","2.3","17.0","0.1","0.1","11.6"
"Chuba Hubbard","CAR","RB16","16.6","67.9","0.5","2.5","16.4","0.1","0.1","11.4"
"Kenneth Walker III","SEA","RB17","16.7","60.5","0.5","2.6","19.4","0.1","0.1","11.1"
"CeeDee Lamb","DAL","WR3","0.5","3.6","0.0","6.5","77.9","0.4","0.1","10.9"
"Alvin Kamara","NO","RB18","12.9","53.5","0.3","3.9","29.6","0.1","0.1","10.9"
"Puka Nacua","LAR","WR4","0.8","4.4","0.1","6.1","78.5","0.4","0.1","10.8"
"Malik Nabers","NYG","WR5","0.2","1.6","0.0","6.1","79.1","0.4","0.1","10.7"
"Brian Thomas Jr.","JAC","WR6","0.3","1.4","0.0","5.5","77.2","0.5","0.1","10.7"
"A.J. Brown","PHI","WR7","0.0","0.0","0.0","5.2","77.1","0.5","0.1","10.5"
"Nico Collins","HOU","WR8","0.0","0.1","0.0","5.4","77.0","0.5","0.1","10.4"
"Amon-Ra St. Brown","DET","WR9","0.3","1.3","0.0","6.7","74.3","0.5","0.1","10.2"
"Breece Hall","NYJ","RB19","13.6","57.8","0.3","2.6","20.7","0.1","0.1","10.1"
"Xavier Worthy","KC","WR10","1.3","6.4","0.1","4.7","61.1","0.5","0.0","10.0"
"TreVeyon Henderson","NE","RB20","13.6","57.5","0.4","2.2","17.1","0.1","0.1","10.0"
"Mike Evans","TB","WR11","0.0","0.0","0.0","4.8","65.2","0.6","0.0","9.8"
"David Montgomery","DET","RB21","11.9","48.3","0.6","1.7","13.2","0.1","0.1","9.7"
"Drake London","ATL","WR12","0.0","0.3","0.0","5.6","69.5","0.5","0.1","9.6"
"RJ Harvey","DEN","RB22","11.3","51.4","0.3","2.3","17.7","0.1","0.0","9.5"
"Terry McLaurin","WAS","WR13","0.1","0.5","0.0","4.9","66.8","0.5","0.1","9.5"
"D'Andre Swift","CHI","RB23","14.8","53.1","0.4","2.1","15.5","0.1","0.1","9.3"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","5.1","64.1","0.5","0.1","9.3"
"Isiah Pacheco","KC","RB24","12.2","49.7","0.4","2.2","16.1","0.1","0.1","9.2"
"Tyreek Hill","MIA","WR15","0.5","1.4","0.0","5.3","67.1","0.4","0.1","9.2"
"Kaleb Johnson","PIT","RB25","15.8","55.1","0.4","1.5","11.1","0.1","0.1","9.2"
"Ladd McConkey","LAC","WR16","0.0","0.2","0.0","5.5","68.7","0.4","0.1","9.1"
"Brian Robinson Jr.","WAS","RB26","13.7","50.9","0.5","1.4","9.9","0.1","0.1","9.1"
"Aaron Jones Sr.","MIN","RB27","10.8","46.9","0.2","2.6","19.9","0.2","0.1","8.8"
"Marvin Harrison Jr.","ARI","WR17","0.0","0.0","0.0","4.5","63.5","0.4","0.1","8.8"
"Jameson Williams","DET","WR18","0.6","4.3","0.1","3.8","61.2","0.3","0.0","8.8"
"Tyrone Tracy Jr.","NYG","RB28","12.0","49.7","0.3","2.2","16.7","0.1","0.1","8.8"
"J.K. Dobbins","DEN","RB29","10.2","45.0","0.4","2.2","15.6","0.1","0.1","8.7"
"Zay Flowers","BAL","WR19","0.6","3.1","0.0","4.5","62.2","0.4","0.0","8.7"
"Davante Adams","LAR","WR20","0.0","0.0","0.0","4.7","60.5","0.5","0.0","8.7"
"Courtland Sutton","DEN","WR21","0.0","0.0","0.0","4.3","58.1","0.5","0.1","8.6"
"Rhamondre Stevenson","NE","RB30","12.4","48.0","0.4","1.7","11.8","0.1","0.1","8.6"
"Jaxon Smith-Njigba","SEA","WR22","0.4","2.1","0.0","5.2","61.4","0.4","0.1","8.6"
"George Kittle","SF","TE1","0.0","0.0","0.0","4.7","62.0","0.4","0.0","8.5"
"DK Metcalf","PIT","WR23","0.0","0.0","0.0","4.3","61.8","0.4","0.1","8.4"
"Travis Hunter","JAC","WR24","0.3","1.8","0.0","4.5","58.4","0.4","0.0","8.4"
"Trey McBride","ARI","TE2","0.0","0.2","0.0","6.2","62.0","0.4","0.0","8.4"
"Brock Bowers","LV","TE3","0.0","1.0","0.0","6.1","63.6","0.3","0.0","8.3"
"DJ Moore","CHI","WR25","0.5","2.8","0.0","4.9","58.9","0.4","0.1","8.2"
"Tony Pollard","TEN","RB31","12.6","50.1","0.3","2.2","14.5","0.1","0.1","8.2"
"Jaylen Warren","PIT","RB32","8.9","42.9","0.2","2.8","20.4","0.1","0.1","8.1"
"George Pickens","DAL","WR26","0.1","0.8","0.0","4.1","58.4","0.4","0.1","8.1"
"DeVonta Smith","PHI","WR27","0.0","0.2","0.0","4.9","58.7","0.4","0.0","8.1"
"Calvin Ridley","TEN","WR28","0.5","2.6","0.0","3.9","57.2","0.3","0.0","8.0"
"Tetairoa McMillan","CAR","WR29","0.0","0.8","0.0","4.4","58.2","0.4","0.0","7.9"
"Deebo Samuel Sr.","WAS","WR30","1.7","8.2","0.1","3.7","48.5","0.3","0.1","7.7"
"Jauan Jennings","SF","WR31","0.0","0.0","0.0","4.4","59.3","0.3","0.1","7.7"
"Jerry Jeudy","CLE","WR32","0.0","0.1","0.0","4.7","61.7","0.3","0.1","7.7"
"Garrett Wilson","NYJ","WR33","0.3","1.7","0.0","4.8","59.0","0.3","0.1","7.7"
"Rome Odunze","CHI","WR34","0.1","0.5","0.0","4.0","54.2","0.4","0.1","7.6"
"Travis Etienne Jr.","JAC","RB33","8.3","37.8","0.2","2.5","19.1","0.1","0.1","7.5"
"Jaylen Waddle","MIA","WR35","0.2","0.7","0.0","4.5","57.5","0.3","0.1","7.5"
"Matthew Golden","GB","WR36","0.0","0.8","0.0","3.9","52.9","0.4","0.0","7.4"
"Joe Mixon","HOU","RB34","12.5","36.9","0.3","1.5","12.3","0.1","0.0","7.4"
"Jayden Reed","GB","WR37","1.0","6.5","0.1","3.7","46.2","0.3","0.1","7.2"
"Ricky Pearsall","SF","WR38","0.3","1.9","0.0","4.0","54.6","0.3","0.1","7.2"
"Jerome Ford","CLE","RB35","12.5","39.6","0.2","2.0","13.9","0.1","0.1","7.0"
"Emeka Egbuka","TB","WR39","0.3","1.0","0.0","3.7","48.4","0.4","0.0","7.0"
"Keon Coleman","BUF","WR40","0.0","0.2","0.0","3.2","47.9","0.4","0.0","6.9"
"Mark Andrews","BAL","TE4","0.0","0.3","0.0","3.9","44.8","0.4","0.1","6.9"
"Jakobi Meyers","LV","WR41","0.1","0.7","0.0","4.6","52.4","0.3","0.1","6.9"
"Cooper Kupp","SEA","WR42","0.1","0.7","0.0","4.3","49.0","0.3","0.1","6.9"
"Khalil Shakir","BUF","WR43","0.0","0.3","0.0","4.8","53.3","0.3","0.1","6.8"
"Keenan Allen","LAC","WR44","0.0","0.0","0.0","4.3","49.3","0.3","0.0","6.8"
"Sam LaPorta","DET","TE5","0.0","0.0","0.0","4.3","46.5","0.4","0.0","6.8"
"Javonte Williams","DAL","RB36","9.7","33.4","0.3","2.0","13.8","0.1","0.0","6.7"
"Chris Olave","NO","WR45","0.0","0.1","0.0","4.2","52.2","0.3","0.1","6.7"
"Marquise Brown","KC","WR46","0.0","0.0","0.0","3.4","47.6","0.3","0.0","6.6"
"Tank Bigsby","JAC","RB37","11.6","41.5","0.3","0.9","6.4","0.0","0.1","6.5"
"Rashid Shaheed","NO","WR47","0.4","2.3","0.0","3.3","48.1","0.3","0.0","6.5"
"Jordan Mason","MIN","RB38","9.5","40.1","0.2","1.0","6.9","0.0","0.0","6.4"
"Stefon Diggs","NE","WR48","0.2","0.6","0.0","4.2","47.2","0.3","0.0","6.4"
"Travis Kelce","KC","TE6","0.0","0.1","0.0","4.6","45.1","0.3","0.1","6.4"
"Marvin Mims Jr.","DEN","WR49","1.4","6.1","0.1","2.9","38.4","0.3","0.1","6.3"
"Darnell Mooney","ATL","WR50","0.0","0.1","0.0","3.5","47.4","0.3","0.0","6.3"
"Cam Skattebo","NYG","RB39","9.1","34.8","0.2","1.6","12.0","0.1","0.1","6.2"
"Trey Benson","ARI","RB40","8.7","36.3","0.2","1.4","9.9","0.1","0.1","6.2"
"David Njoku","CLE","TE7","0.0","0.0","0.0","4.4","44.3","0.3","0.0","6.2"
"T.J. Hockenson","MIN","TE8","0.0","0.0","0.0","4.5","46.6","0.3","0.0","6.2"
"Jalen McMillan","TB","WR51","0.3","1.5","0.0","3.1","41.0","0.3","0.1","6.1"
"Michael Pittman Jr.","IND","WR52","0.0","0.1","0.0","4.1","48.5","0.2","0.1","6.0"
"Jayden Higgins","HOU","WR53","0.0","0.0","0.0","3.3","44.4","0.3","0.0","6.0"
"Rachaad White","TB","RB41","6.9","28.7","0.2","2.2","15.8","0.1","0.1","6.0"
"Zach Charbonnet","SEA","RB42","6.3","30.6","0.2","2.0","14.5","0.1","0.0","6.0"
"Austin Ekeler","WAS","RB43","5.2","22.9","0.2","2.3","18.7","0.1","0.1","5.8"
"Rashod Bateman","BAL","WR54","0.0","0.0","0.0","2.7","40.4","0.3","0.0","5.8"
"Josh Downs","IND","WR55","0.0","0.1","0.0","3.8","44.4","0.2","0.0","5.7"
"Najee Harris","LAC","RB44","6.4","30.6","0.3","1.1","7.4","0.0","0.0","5.6"
"Tyjae Spears","TEN","RB45","7.3","26.9","0.2","2.0","14.7","0.1","0.0","5.5"
"Dallas Goedert","PHI","TE9","0.0","0.0","0.0","3.8","40.5","0.2","0.1","5.4"
"Evan Engram","DEN","TE10","0.0","0.0","0.0","4.4","40.4","0.2","0.1","5.3"
"Tucker Kraft","GB","TE11","0.0","0.0","0.0","3.6","38.9","0.2","0.0","5.3"
"Adam Thielen","CAR","WR56","0.0","0.1","0.0","3.8","38.9","0.2","0.1","5.2"
"Cedric Tillman","CLE","WR57","0.0","0.1","0.0","3.0","39.6","0.2","0.0","5.2"
"Kyle Pitts Sr.","ATL","TE12","0.0","0.0","0.0","2.9","37.2","0.2","0.0","5.2"
"Ray Davis","BUF","RB46","5.7","28.8","0.2","0.8","6.6","0.0","0.0","5.1"
"Hunter Henry","NE","TE13","0.0","0.0","0.0","3.2","34.3","0.3","0.0","5.1"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","3.6","39.1","0.2","0.0","5.0"
"Luther Burden III","CHI","WR58","0.3","2.3","0.0","2.8","32.7","0.2","0.0","5.0"
"Tyler Allgeier","ATL","RB47","6.9","31.3","0.2","0.7","4.6","0.0","0.0","5.0"
"Tyler Warren","IND","TE15","0.0","0.6","0.0","3.3","35.3","0.2","0.0","4.9"
"Joshua Palmer","BUF","WR59","0.0","0.0","0.0","2.7","34.9","0.2","0.0","4.9"
"Dylan Sampson","CLE","RB48","8.5","27.6","0.2","1.1","8.3","0.1","0.0","4.9"
"Romeo Doubs","GB","WR60","0.0","0.0","0.0","2.8","33.8","0.3","0.0","4.8"
"Zach Ertz","WAS","TE16","0.0","0.0","0.0","3.4","30.8","0.3","0.0","4.7"
"Wan'Dale Robinson","NYG","WR61","0.1","0.9","0.0","3.8","37.1","0.2","0.0","4.7"
"Jake Ferguson","DAL","TE17","0.0","0.0","0.0","3.7","36.0","0.2","0.1","4.7"
"Xavier Legette","CAR","WR62","0.5","2.0","0.0","2.7","33.2","0.2","0.0","4.7"
"Christian Kirk","HOU","WR63","0.0","0.1","0.0","3.0","36.2","0.2","0.0","4.7"
"Cade Otton","TB","TE18","0.0","0.0","0.0","3.1","31.7","0.3","0.0","4.6"
"DeMario Douglas","NE","WR64","0.2","1.1","0.0","3.0","33.5","0.2","0.0","4.6"
"Colston Loveland","CHI","TE19","0.0","0.0","0.0","3.2","33.2","0.2","0.0","4.6"
"Jack Bech","LV","WR65","0.0","0.0","0.0","2.8","34.3","0.2","0.0","4.5"
"Tre' Harris","LAC","WR66","0.0","0.1","0.0","2.6","34.0","0.2","0.0","4.5"
"Darius Slayton","NYG","WR67","0.1","0.4","0.0","2.2","33.4","0.2","0.0","4.4"
"Brenton Strange","JAC","TE20","0.0","0.0","0.0","3.3","31.7","0.2","0.0","4.4"
"Kyle Williams","NE","WR68","0.2","0.5","0.0","2.2","30.4","0.2","0.0","4.4"
"Darren Waller","MIA","TE21","0.0","0.0","0.0","2.9","32.7","0.2","0.0","4.3"
"Dyami Brown","JAC","WR69","0.0","0.2","0.0","2.4","32.0","0.2","0.0","4.3"
"Jalen Nailor","MIN","WR70","0.2","1.2","0.0","2.3","29.0","0.2","0.0","4.3"
"Michael Wilson","ARI","WR71","0.0","0.1","0.0","2.6","30.7","0.2","0.0","4.3"
"Quinshon Judkins","CLE","RB49","0.0","26.1","0.2","0.8","5.6","0.0","0.0","4.3"
"Quentin Johnston","LAC","WR72","0.1","0.6","0.0","2.2","29.9","0.2","0.0","4.2"
"Mike Gesicki","CIN","TE22","0.0","0.0","0.0","2.9","29.6","0.2","0.0","4.2"
"Nick Chubb","HOU","RB50","6.8","25.4","0.2","0.5","3.9","0.0","0.0","4.2"
"Jaylen Wright","MIA","RB51","5.9","23.5","0.2","0.8","5.9","0.1","0.0","4.1"
"Theo Johnson","NYG","TE23","0.0","0.0","0.0","2.9","30.7","0.2","0.0","4.1"
"Jaydon Blue","DAL","RB52","4.8","22.0","0.1","1.2","8.8","0.0","0.0","4.0"
"Dalton Schultz","HOU","TE24","0.0","0.0","0.0","3.0","31.9","0.2","0.0","4.0"
"Mason Taylor","NYJ","TE25","0.0","0.0","0.0","3.0","30.0","0.2","0.0","4.0"
"Roschon Johnson","CHI","RB53","5.4","16.8","0.2","1.3","8.7","0.0","0.0","4.0"
"Pat Freiermuth","PIT","TE26","0.0","0.0","0.0","3.1","28.7","0.2","0.1","4.0"
"Chig Okonkwo","TEN","TE27","0.0","0.3","0.0","3.1","30.4","0.2","0.0","4.0"
"Alec Pierce","IND","WR73","0.0","0.0","0.0","1.8","28.8","0.2","0.0","3.9"
"Kareem Hunt","KC","RB54","3.9","19.9","0.2","0.9","6.1","0.0","0.0","3.9"
"Elijah Arroyo","SEA","TE28","0.0","0.0","0.0","2.5","28.1","0.2","0.0","3.9"
"Jonnu Smith","PIT","TE29","0.0","0.2","0.0","3.0","29.6","0.2","0.0","3.9"
"Justice Hill","BAL","RB55","2.3","10.3","0.1","2.2","18.0","0.1","0.0","3.9"
"Bhayshul Tuten","JAC","RB56","3.4","20.7","0.1","1.0","7.6","0.0","0.0","3.9"
"Tyler Higbee","LAR","TE30","0.0","0.0","0.0","2.9","26.9","0.2","0.0","3.8"
"Rashee Rice","KC","WR74","0.0","0.2","0.0","2.5","28.1","0.2","0.0","3.8"
"Josh Reynolds","NYJ","WR75","0.0","0.0","0.0","2.2","27.3","0.2","0.0","3.8"
"Rico Dowdle","CAR","RB57","4.5","20.9","0.1","1.2","8.7","0.1","0.0","3.8"
"Isaac Guerendo","SF","RB58","6.5","23.9","0.2","0.4","3.1","0.0","0.0","3.8"
"Nick Westbrook-Ikhine","MIA","WR76","0.0","0.0","0.0","1.8","24.4","0.2","0.0","3.7"
"DeAndre Hopkins","BAL","WR77","0.0","0.0","0.0","2.0","24.1","0.2","0.0","3.7"
"Tyler Lockett","TEN","WR78","0.0","0.0","0.0","2.4","25.7","0.2","0.0","3.6"
"Isaiah Likely","BAL","TE31","0.0","0.0","0.0","1.9","23.0","0.2","0.0","3.5"
"Adonai Mitchell","IND","WR79","0.3","1.4","0.0","1.6","23.9","0.2","0.0","3.5"
"Ja'Tavion Sanders","CAR","TE32","0.0","0.0","0.0","2.6","25.8","0.2","0.0","3.5"
"Tutu Atwell","LAR","WR80","0.3","1.3","0.0","2.1","26.5","0.1","0.0","3.5"
"Braelon Allen","NYJ","RB59","6.2","20.8","0.1","0.7","5.1","0.0","0.0","3.5"
"Calvin Austin III","PIT","WR81","0.0","0.4","0.0","2.0","26.1","0.1","0.0","3.5"
"Brandin Cooks","NO","WR82","0.0","0.2","0.0","2.0","24.8","0.1","0.0","3.3"
"Diontae Johnson","CLE","WR83","0.0","0.0","0.0","2.1","24.8","0.2","0.0","3.3"
"Demarcus Robinson","SF","WR84","0.0","0.0","0.0","1.6","24.1","0.2","0.0","3.3"
"Miles Sanders","DAL","RB60","5.2","18.8","0.1","0.7","4.8","0.0","0.0","3.3"
"Juwan Johnson","NO","TE33","0.0","0.0","0.0","2.4","24.7","0.1","0.0","3.2"
"Jalen Coker","CAR","WR85","0.0","0.2","0.0","1.9","23.0","0.1","0.0","3.1"
"Marquez Valdes-Scantling","SEA","WR86","0.0","0.0","0.0","1.4","22.4","0.1","0.0","3.1"
"Will Shipley","PHI","RB61","3.4","15.5","0.1","0.7","5.0","0.0","0.0","3.0"
"Ray-Ray McCloud III","ATL","WR87","0.5","2.9","0.0","2.0","20.8","0.1","0.0","3.0"
"Ty Johnson","BUF","RB62","1.8","10.6","0.1","1.1","11.0","0.1","0.0","3.0"
"Jordan Whittington","LAR","WR88","0.1","1.2","0.0","1.9","20.7","0.1","0.0","3.0"
"Chris Godwin","TB","WR89","0.0","0.1","0.0","1.9","20.5","0.2","0.0","2.9"
"Noah Gray","KC","TE34","0.0","0.0","0.0","2.0","19.5","0.2","0.0","2.9"
"Pat Bryant","DEN","WR90","0.0","0.0","0.0","1.6","19.5","0.2","0.0","2.9"
"KaVontae Turpin","DAL","WR91","0.7","4.2","0.0","1.3","16.9","0.1","0.0","2.9"
"Jaylin Noel","HOU","WR92","0.0","0.0","0.0","1.7","21.0","0.1","0.0","2.9"
"Tyler Conklin","LAC","TE35","0.0","0.0","0.0","2.1","19.4","0.1","0.0","2.8"
"Kendre Miller","NO","RB63","5.2","16.8","0.1","0.7","5.0","0.0","0.0","2.8"
"Allen Lazard","NYJ","WR93","0.0","0.0","0.0","1.6","20.7","0.1","0.0","2.8"
"AJ Barner","SEA","TE36","0.0","0.0","0.0","2.0","19.5","0.1","0.0","2.8"
"Andrei Iosivas","CIN","WR94","0.0","0.0","0.0","1.6","18.3","0.1","0.0","2.7"
"Noah Fant","CIN","TE37","0.0","0.0","0.0","1.9","18.9","0.1","0.0","2.7"
"Troy Franklin","DEN","WR95","0.1","0.6","0.0","1.3","17.7","0.1","0.0","2.7"
"Raheem Mostert","LV","RB64","2.8","15.0","0.1","0.6","4.2","0.0","0.0","2.7"
"Jalen Tolbert","DAL","WR96","0.0","0.0","0.0","1.6","19.4","0.1","0.0","2.7"
"Noah Brown","WAS","WR97","0.0","0.0","0.0","1.7","20.4","0.1","0.0","2.7"
"MarShawn Lloyd","GB","RB65","4.5","13.4","0.1","0.8","5.3","0.0","0.0","2.6"
"Jalen Royals","KC","WR98","0.0","0.0","0.0","1.5","17.9","0.1","0.0","2.6"
"Samaje Perine","CIN","RB66","3.0","10.5","0.1","0.9","7.2","0.1","0.0","2.5"
"Tre Tucker","LV","WR99","0.5","2.3","0.0","1.3","17.0","0.1","0.0","2.5"
"Curtis Samuel","BUF","WR100","0.3","1.8","0.0","1.5","14.9","0.1","0.0","2.5"
"Dontayvion Wicks","GB","WR101","0.0","0.0","0.0","1.4","17.7","0.1","0.0","2.5"
"Jermaine Burton","CIN","WR102","0.0","0.2","0.0","1.2","17.0","0.1","0.0","2.4"
"Dont'e Thornton Jr.","LV","WR103","0.0","0.3","0.0","1.4","17.7","0.1","0.0","2.4"
"Woody Marks","HOU","RB67","2.1","10.4","0.1","1.0","7.2","0.0","0.0","2.4"
"Greg Dortch","ARI","WR104","0.3","2.0","0.0","1.6","15.2","0.1","0.0","2.3"
"JuJu Smith-Schuster","KC","WR105","0.0","0.0","0.0","1.5","16.5","0.1","0.0","2.3"
