"Player","Team","FG","FGA","XPT","FPTS"
"Jake Elliott","PHI","1.7","1.9","2.9","8.1"
"Chase McLaughlin","TB","1.8","1.9","2.7","8.0"
"Tyler Bass","BUF","1.7","1.9","3.0","8.0"
"Jake Bates","DET","1.7","1.9","2.8","7.9"
"Matt Gay","WAS","1.7","1.9","2.7","7.9"
"Cameron Dicker","LAC","1.8","1.9","2.4","7.9"
"Harrison Butker","KC","1.7","1.9","2.7","7.8"
"Tyler Loop","BAL","1.6","1.9","2.9","7.8"
"Evan McPherson","CIN","1.7","1.9","2.7","7.7"
"Cam Little","JAC","1.8","1.9","2.4","7.7"
"Brandon Aubrey","DAL","1.8","2.0","2.2","7.7"
"Wil Lutz","DEN","1.7","1.9","2.4","7.6"
"Brandon McManus","GB","1.7","1.9","2.3","7.5"
"Ka'imi Fairbairn","HOU","1.8","2.0","2.2","7.5"
"Jason Sanders","MIA","1.7","2.0","2.2","7.4"
"Chris Boswell","PIT","1.8","2.0","2.0","7.3"
"Joshua Karty","LAR","1.7","2.0","2.2","7.3"
"Will Reichard","MIN","1.7","2.0","2.2","7.2"
"Cairo Santos","CHI","1.7","2.0","2.0","7.2"
"Chad Ryland","ARI","1.7","1.9","2.2","7.2"
"Younghoe Koo","ATL","1.7","1.9","2.1","7.2"
"Jason Myers","SEA","1.7","1.9","2.1","7.2"
"Spencer Shrader","IND","1.7","1.9","2.1","7.1"
"Daniel Carlson","LV","1.7","2.0","1.9","7.1"
"Blake Grupe","NO","1.6","2.0","1.7","6.5"
"Graham Gano","NYG","1.6","2.0","1.8","6.4"
"Andy Borregales","NE","1.4","1.9","2.0","6.3"
"Dustin Hopkins","CLE","1.5","2.0","1.7","6.3"
"Jake Moody","SF","1.4","2.0","2.1","6.3"
"Nick Folk","NYJ","1.5","2.0","1.6","6.3"
"Joey Slye","TEN","1.5","2.0","1.6","6.1"
"Ryan Fitzgerald","CAR","1.0","2.0","1.2","4.2"
"Matthew Wright","CAR","0.6","0.0","0.8","2.7"
"Parker Romo","NE","0.2","0.0","0.2","0.7"
"Harrison Mevis","NYJ","0.1","0.0","0.1","0.3"
"Jude McAtamney","NYG","0.0","0.0","0.0","0.0"
""
""
