"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHI","27.8","18.7","211.7","1.4","0.6","9.1","37.6","0.9","0.2","22.0"
"Josh Allen","BUF","32.8","20.8","239.1","1.6","0.7","6.5","31.9","0.6","0.2","21.8"
"Lamar Jackson","BAL","29.4","19.6","226.4","1.8","0.6","8.3","49.4","0.2","0.3","21.6"
"Jayden Daniels","WAS","31.4","20.7","230.0","1.6","0.7","8.8","47.4","0.4","0.2","21.4"
"Joe Burrow","CIN","35.2","24.5","269.7","2.1","0.7","3.0","11.1","0.1","0.2","20.0"
"Patrick Mahomes II","KC","36.1","24.2","258.1","1.9","0.7","4.3","19.2","0.2","0.2","19.6"
"Baker Mayfield","TB","32.5","22.1","249.8","2.0","0.8","3.7","17.0","0.2","0.3","19.2"
"Bo Nix","DEN","31.4","20.9","229.5","1.7","0.7","5.1","25.0","0.2","0.2","18.8"
"Kyler Murray","ARI","31.2","21.3","220.6","1.4","0.7","5.4","33.9","0.3","0.2","18.5"
"Trevor Lawrence","JAC","33.5","22.2","247.4","1.6","0.8","3.6","16.5","0.2","0.2","17.8"
"Brock Purdy","SF","32.3","21.4","252.8","1.5","0.8","3.5","14.8","0.2","0.2","17.7"
"Drake Maye","NE","29.3","20.0","210.7","1.5","0.7","4.5","29.9","0.2","0.3","17.1"
"Jared Goff","DET","33.7","23.3","258.7","1.7","0.7","1.9","3.9","0.1","0.2","16.9"
"J.J. McCarthy","MIN","35.8","23.2","233.4","1.6","0.8","3.2","16.2","0.1","0.2","16.7"
"Justin Herbert","LAC","34.5","22.5","230.3","1.5","0.6","3.7","14.8","0.2","0.2","16.6"
"Dak Prescott","DAL","36.4","24.0","244.4","1.5","0.8","2.8","9.6","0.1","0.2","16.4"
"C.J. Stroud","HOU","34.3","22.1","245.6","1.4","0.7","3.0","12.7","0.1","0.2","16.2"
"Jordan Love","GB","32.9","20.9","238.4","1.5","0.8","2.5","9.6","0.1","0.2","16.1"
"Caleb Williams","CHI","32.2","20.1","216.0","1.4","0.7","4.4","23.8","0.2","0.3","16.1"
"Kenny Pickett","CLE","34.8","22.1","243.0","1.2","0.7","3.9","10.9","0.2","0.2","15.9"
"Justin Fields","NYJ","28.2","17.2","173.4","0.9","0.6","9.4","44.3","0.4","0.3","15.8"
"Bryce Young","CAR","34.4","21.8","212.7","1.3","0.7","3.0","17.9","0.2","0.2","15.5"
"Russell Wilson","NYG","33.7","21.7","227.7","1.2","0.6","3.8","13.9","0.2","0.2","15.4"
"Sam Darnold","SEA","32.5","21.4","226.7","1.4","0.8","3.8","12.8","0.1","0.2","15.3"
"Tua Tagovailoa","MIA","35.3","24.1","245.4","1.5","0.7","2.1","5.0","0.1","0.2","15.3"
"Matthew Stafford","LAR","34.1","22.0","241.9","1.5","0.8","1.9","2.6","0.1","0.2","15.3"
"Michael Penix Jr.","ATL","32.7","20.8","225.7","1.4","0.8","2.8","11.3","0.1","0.2","15.2"
"Geno Smith","LV","34.9","23.3","225.0","1.2","0.8","3.4","13.8","0.1","0.2","14.4"
"Cameron Ward","TEN","34.0","20.9","200.8","1.1","0.8","3.8","18.6","0.1","0.2","13.9"
"Anthony Richardson Sr.","IND","28.7","17.5","151.8","0.8","0.6","9.0","33.7","0.4","0.3","13.8"
"Aaron Rodgers","PIT","32.3","21.1","211.2","1.2","0.6","1.8","6.8","0.1","0.2","13.4"
"Tyler Shough","NO","33.8","20.9","162.1","0.8","0.7","3.7","13.5","0.1","0.2","10.7"
"Joe Flacco","CLE","0.0","0.0","112.4","0.6","0.5","0.0","2.0","0.0","0.2","6.5"
"Daniel Jones","IND","0.0","0.0","50.5","0.3","0.2","0.0","7.1","0.1","0.1","3.8"
"Spencer Rattler","NO","0.0","0.0","46.9","0.2","0.2","0.0","5.2","0.0","0.0","3.3"
