"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","20.3","102.4","0.7","2.4","18.4","0.1","0.1","17.0"
"Bijan Robinson","ATL","17.2","80.0","0.7","3.3","25.7","0.1","0.1","15.2"
"Derrick Henry","BAL","17.8","90.3","0.8","1.0","9.3","0.1","0.1","15.1"
"Jahmyr Gibbs","DET","13.6","70.8","0.7","3.3","29.4","0.2","0.1","14.8"
"Christian McCaffrey","SF","14.9","69.0","0.5","4.2","34.4","0.2","0.1","14.5"
"Jonathan Taylor","IND","21.4","89.3","0.7","1.7","13.2","0.1","0.1","14.3"
"Bucky Irving","TB","15.6","71.6","0.5","3.1","23.4","0.1","0.1","13.3"
"Josh Jacobs","GB","16.8","69.3","0.6","2.5","18.8","0.1","0.1","13.1"
"Kyren Williams","LAR","18.0","74.7","0.7","2.1","13.9","0.1","0.1","13.1"
"De'Von Achane","MIA","12.7","59.3","0.5","4.2","31.4","0.2","0.1","12.9"
"Ashton Jeanty","LV","15.8","68.6","0.4","3.0","22.6","0.1","0.1","12.3"
"Chase Brown","CIN","16.5","63.8","0.5","3.2","22.7","0.1","0.1","12.2"
"James Cook","BUF","14.2","62.8","0.6","2.2","17.2","0.1","0.1","12.0"
"James Conner","ARI","14.5","62.7","0.6","2.4","18.0","0.1","0.1","11.7"
"Omarion Hampton","LAC","14.5","63.7","0.5","2.3","17.0","0.1","0.1","11.6"
"Chuba Hubbard","CAR","16.6","67.9","0.5","2.5","16.4","0.1","0.1","11.4"
"Kenneth Walker III","SEA","16.7","60.5","0.5","2.6","19.4","0.1","0.1","11.1"
"Alvin Kamara","NO","12.9","53.5","0.3","3.9","29.6","0.1","0.1","10.9"
"Breece Hall","NYJ","13.6","57.8","0.3","2.6","20.7","0.1","0.1","10.1"
"TreVeyon Henderson","NE","13.6","57.5","0.4","2.2","17.1","0.1","0.1","10.0"
"David Montgomery","DET","11.9","48.3","0.6","1.7","13.2","0.1","0.1","9.7"
"RJ Harvey","DEN","11.3","51.4","0.3","2.3","17.7","0.1","0.0","9.5"
"D'Andre Swift","CHI","14.8","53.1","0.4","2.1","15.5","0.1","0.1","9.3"
"Isiah Pacheco","KC","12.2","49.7","0.4","2.2","16.1","0.1","0.1","9.2"
"Kaleb Johnson","PIT","15.8","55.1","0.4","1.5","11.1","0.1","0.1","9.2"
"Brian Robinson Jr.","WAS","13.7","50.9","0.5","1.4","9.9","0.1","0.1","9.1"
"Aaron Jones Sr.","MIN","10.8","46.9","0.2","2.6","19.9","0.2","0.1","8.8"
"Tyrone Tracy Jr.","NYG","12.0","49.7","0.3","2.2","16.7","0.1","0.1","8.8"
"J.K. Dobbins","DEN","10.2","45.0","0.4","2.2","15.6","0.1","0.1","8.7"
"Rhamondre Stevenson","NE","12.4","48.0","0.4","1.7","11.8","0.1","0.1","8.6"
"Tony Pollard","TEN","12.6","50.1","0.3","2.2","14.5","0.1","0.1","8.2"
"Jaylen Warren","PIT","8.9","42.9","0.2","2.8","20.4","0.1","0.1","8.1"
"Travis Etienne Jr.","JAC","8.3","37.8","0.2","2.5","19.1","0.1","0.1","7.5"
"Joe Mixon","HOU","12.5","36.9","0.3","1.5","12.3","0.1","0.0","7.4"
"Jerome Ford","CLE","12.5","39.6","0.2","2.0","13.9","0.1","0.1","7.0"
"Javonte Williams","DAL","9.7","33.4","0.3","2.0","13.8","0.1","0.0","6.7"
"Tank Bigsby","JAC","11.6","41.5","0.3","0.9","6.4","0.0","0.1","6.5"
"Jordan Mason","MIN","9.5","40.1","0.2","1.0","6.9","0.0","0.0","6.4"
"Cam Skattebo","NYG","9.1","34.8","0.2","1.6","12.0","0.1","0.1","6.2"
"Trey Benson","ARI","8.7","36.3","0.2","1.4","9.9","0.1","0.1","6.2"
"Rachaad White","TB","6.9","28.7","0.2","2.2","15.8","0.1","0.1","6.0"
"Zach Charbonnet","SEA","6.3","30.6","0.2","2.0","14.5","0.1","0.0","6.0"
"Austin Ekeler","WAS","5.2","22.9","0.2","2.3","18.7","0.1","0.1","5.8"
"Najee Harris","LAC","6.4","30.6","0.3","1.1","7.4","0.0","0.0","5.6"
"Tyjae Spears","TEN","7.3","26.9","0.2","2.0","14.7","0.1","0.0","5.5"
"Ray Davis","BUF","5.7","28.8","0.2","0.8","6.6","0.0","0.0","5.1"
"Tyler Allgeier","ATL","6.9","31.3","0.2","0.7","4.6","0.0","0.0","5.0"
"Dylan Sampson","CLE","8.5","27.6","0.2","1.1","8.3","0.1","0.0","4.9"
"Quinshon Judkins","CLE","0.0","26.1","0.2","0.8","5.6","0.0","0.0","4.3"
"Nick Chubb","HOU","6.8","25.4","0.2","0.5","3.9","0.0","0.0","4.2"
"Jaylen Wright","MIA","5.9","23.5","0.2","0.8","5.9","0.1","0.0","4.1"
"Jaydon Blue","DAL","4.8","22.0","0.1","1.2","8.8","0.0","0.0","4.0"
"Roschon Johnson","CHI","5.4","16.8","0.2","1.3","8.7","0.0","0.0","4.0"
"Kareem Hunt","KC","3.9","19.9","0.2","0.9","6.1","0.0","0.0","3.9"
"Justice Hill","BAL","2.3","10.3","0.1","2.2","18.0","0.1","0.0","3.9"
"Bhayshul Tuten","JAC","3.4","20.7","0.1","1.0","7.6","0.0","0.0","3.9"
"Rico Dowdle","CAR","4.5","20.9","0.1","1.2","8.7","0.1","0.0","3.8"
"Isaac Guerendo","SF","6.5","23.9","0.2","0.4","3.1","0.0","0.0","3.8"
"Braelon Allen","NYJ","6.2","20.8","0.1","0.7","5.1","0.0","0.0","3.5"
"Miles Sanders","DAL","5.2","18.8","0.1","0.7","4.8","0.0","0.0","3.3"
"Will Shipley","PHI","3.4","15.5","0.1","0.7","5.0","0.0","0.0","3.0"
"Ty Johnson","BUF","1.8","10.6","0.1","1.1","11.0","0.1","0.0","3.0"
"Kendre Miller","NO","5.2","16.8","0.1","0.7","5.0","0.0","0.0","2.8"
"Raheem Mostert","LV","2.8","15.0","0.1","0.6","4.2","0.0","0.0","2.7"
"MarShawn Lloyd","GB","4.5","13.4","0.1","0.8","5.3","0.0","0.0","2.6"
"Samaje Perine","CIN","3.0","10.5","0.1","0.9","7.2","0.1","0.0","2.5"
"Woody Marks","HOU","2.1","10.4","0.1","1.0","7.2","0.0","0.0","2.4"
"Elijah Mitchell","KC","3.0","11.7","0.1","0.5","3.3","0.0","0.0","2.1"
"Kyle Monangai","CHI","2.0","11.8","0.1","0.4","2.6","0.0","0.0","2.0"
"Blake Corum","LAR","3.3","11.0","0.1","0.4","2.6","0.0","0.0","2.0"
"Devin Neal","NO","2.0","11.7","0.1","0.3","2.1","0.0","0.0","1.9"
"Tahj Brooks","CIN","1.6","10.7","0.1","0.3","2.2","0.0","0.0","1.8"
"Kenneth Gainwell","PIT","1.9","8.5","0.1","0.5","3.8","0.0","0.0","1.8"
"Dameon Pierce","HOU","0.0","10.2","0.1","0.3","2.4","0.0","0.1","1.7"
"Devin Singletary","NYG","0.7","9.3","0.1","0.4","2.7","0.0","0.0","1.7"
"Jaleel McLaughlin","DEN","0.8","9.3","0.1","0.4","2.9","0.0","0.0","1.7"
"Jacory Croskey-Merritt","WAS","1.1","10.1","0.1","0.3","2.0","0.0","0.0","1.7"
"Isaiah Davis","NYJ","1.1","9.7","0.1","0.3","2.4","0.0","0.0","1.6"
"Trevor Etienne","CAR","1.4","8.3","0.1","0.4","3.1","0.0","0.0","1.5"
"Keaton Mitchell","BAL","2.0","9.0","0.1","0.2","1.8","0.0","0.0","1.5"
"Brashard Smith","KC","0.6","5.5","0.0","0.5","3.8","0.0","0.0","1.4"
"Emanuel Wilson","GB","0.3","6.8","0.1","0.4","3.1","0.0","0.0","1.4"
"Sean Tucker","TB","1.9","8.9","0.1","0.3","2.0","0.0","0.0","1.4"
"Antonio Gibson","NE","0.6","5.8","0.0","0.5","3.6","0.0","0.0","1.4"
"Jarquez Hunter","LAR","1.8","7.9","0.1","0.3","1.8","0.0","0.0","1.3"
"Montrell Johnson Jr.","PHI","0.0","8.1","0.1","0.2","1.2","0.0","0.0","1.3"
"Chris Rodriguez Jr.","WAS","0.0","7.8","0.1","0.2","1.4","0.0","0.0","1.3"
"Ollie Gordon II","MIA","2.1","7.9","0.1","0.2","1.5","0.0","0.0","1.3"
"DJ Giddens","IND","0.9","6.8","0.1","0.3","2.2","0.0","0.0","1.2"
"Dare Ogunbowale","HOU","0.5","3.8","0.0","0.8","5.6","0.0","0.0","1.2"
"A.J. Dillon","PHI","0.8","6.3","0.0","0.2","1.3","0.0","0.0","1.0"
"Alexander Mattison","MIA","0.5","5.6","0.0","0.3","1.8","0.0","0.0","1.0"
"Khalil Herbert","IND","0.6","5.8","0.1","0.1","0.9","0.0","0.0","1.0"
"Sincere McCormick","LV","1.4","5.6","0.0","0.3","1.8","0.0","0.0","1.0"
"Jordan James","SF","1.2","5.7","0.0","0.1","1.1","0.0","0.0","0.9"
"Clyde Edwards-Helaire","NO","2.5","6.5","0.0","0.1","1.0","0.0","0.0","0.9"
"Ty Chandler","MIN","0.3","4.5","0.0","0.3","2.2","0.0","0.0","0.9"
"Emari Demercado","ARI","0.8","4.1","0.0","0.4","2.6","0.0","0.0","0.9"
"Chris Brooks","GB","0.7","4.6","0.0","0.2","1.3","0.0","0.0","0.9"
"Kyle Juszczyk","SF","0.3","1.0","0.0","0.7","5.4","0.0","0.0","0.9"
"Damien Martinez","SEA","0.5","5.2","0.0","0.2","1.3","0.0","0.0","0.9"
"Alec Ingold","MIA","0.5","1.9","0.0","0.5","3.8","0.0","0.0","0.8"
"Kimani Vidal","LAC","0.2","3.5","0.0","0.2","1.6","0.0","0.0","0.8"
"Pierre Strong Jr.","CLE","0.7","2.6","0.0","0.4","3.4","0.0","0.0","0.7"
"Tyler Goodson","IND","0.0","2.4","0.0","0.3","2.0","0.0","0.0","0.6"
"Audric Estime","DEN","0.6","3.5","0.0","0.0","0.3","0.0","0.0","0.6"
"Zamir White","LV","0.0","3.0","0.0","0.1","0.5","0.0","0.0","0.5"
"Rasheen Ali","BAL","0.3","3.0","0.0","0.1","0.7","0.0","0.0","0.5"
"Kalel Mullings","TEN","0.6","3.2","0.0","0.1","0.9","0.0","0.0","0.5"
"Jashaun Corbin","ATL","0.5","2.3","0.0","0.1","0.9","0.0","0.0","0.5"
"Carlos Washington Jr.","ATL","0.5","2.2","0.0","0.1","0.9","0.0","0.0","0.5"
"Hunter Luepke","DAL","0.3","1.4","0.0","0.3","1.9","0.0","0.0","0.4"
"Michael Burton","DEN","0.3","1.2","0.0","0.2","1.7","0.0","0.0","0.4"
"Michael Carter","ARI","0.0","2.1","0.0","0.1","0.6","0.0","0.0","0.4"
"Craig Reynolds","DET","0.3","2.1","0.0","0.1","1.1","0.0","0.0","0.3"
"Carson Steele","KC","0.2","1.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Jeremy McNichols","WAS","0.3","1.9","0.0","0.1","0.6","0.0","0.0","0.3"
"C.J. Ham","MIN","0.1","0.5","0.0","0.3","1.6","0.0","0.0","0.3"
"DeeJay Dallas","ARI","0.3","1.3","0.0","0.1","1.0","0.0","0.0","0.2"
