"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"George Kittle","SF","4.7","62.0","0.4","0.0","8.5"
"Trey McBride","ARI","6.2","62.0","0.4","0.0","8.4"
"Brock Bowers","LV","6.1","63.6","0.3","0.0","8.3"
"Mark Andrews","BAL","3.9","44.8","0.4","0.1","6.9"
"Sam LaPorta","DET","4.3","46.5","0.4","0.0","6.8"
"Travis Kelce","KC","4.6","45.1","0.3","0.1","6.4"
"David Njoku","CLE","4.4","44.3","0.3","0.0","6.2"
"T.J. Hockenson","MIN","4.5","46.6","0.3","0.0","6.2"
"Dallas Goedert","PHI","3.8","40.5","0.2","0.1","5.4"
"Evan Engram","DEN","4.4","40.4","0.2","0.1","5.3"
"Tucker Kraft","GB","3.6","38.9","0.2","0.0","5.3"
"Kyle Pitts Sr.","ATL","2.9","37.2","0.2","0.0","5.2"
"Hunter Henry","NE","3.2","34.3","0.3","0.0","5.1"
"Dalton Kincaid","BUF","3.6","39.1","0.2","0.0","5.0"
"Tyler Warren","IND","3.3","35.3","0.2","0.0","4.9"
"Zach Ertz","WAS","3.4","30.8","0.3","0.0","4.7"
"Jake Ferguson","DAL","3.7","36.0","0.2","0.1","4.7"
"Cade Otton","TB","3.1","31.7","0.3","0.0","4.6"
"Colston Loveland","CHI","3.2","33.2","0.2","0.0","4.6"
"Brenton Strange","JAC","3.3","31.7","0.2","0.0","4.4"
"Darren Waller","MIA","2.9","32.7","0.2","0.0","4.3"
"Mike Gesicki","CIN","2.9","29.6","0.2","0.0","4.2"
"Theo Johnson","NYG","2.9","30.7","0.2","0.0","4.1"
"Dalton Schultz","HOU","3.0","31.9","0.2","0.0","4.0"
"Mason Taylor","NYJ","3.0","30.0","0.2","0.0","4.0"
"Pat Freiermuth","PIT","3.1","28.7","0.2","0.1","4.0"
"Chig Okonkwo","TEN","3.1","30.4","0.2","0.0","4.0"
"Elijah Arroyo","SEA","2.5","28.1","0.2","0.0","3.9"
"Jonnu Smith","PIT","3.0","29.6","0.2","0.0","3.9"
"Tyler Higbee","LAR","2.9","26.9","0.2","0.0","3.8"
"Isaiah Likely","BAL","1.9","23.0","0.2","0.0","3.5"
"Ja'Tavion Sanders","CAR","2.6","25.8","0.2","0.0","3.5"
"Juwan Johnson","NO","2.4","24.7","0.1","0.0","3.2"
"Noah Gray","KC","2.0","19.5","0.2","0.0","2.9"
"Tyler Conklin","LAC","2.1","19.4","0.1","0.0","2.8"
"AJ Barner","SEA","2.0","19.5","0.1","0.0","2.8"
"Noah Fant","CIN","1.9","18.9","0.1","0.0","2.7"
"Will Dissly","LAC","1.8","17.2","0.1","0.0","2.3"
"Michael Mayer","LV","1.8","17.1","0.1","0.0","2.3"
"Cole Kmet","CHI","1.7","15.6","0.1","0.1","2.2"
"Dawson Knox","BUF","1.2","13.0","0.1","0.0","2.0"
"Austin Hooper","NE","1.4","13.7","0.1","0.0","1.9"
"Harold Fannin Jr.","CLE","1.3","12.8","0.1","0.0","1.8"
"Ben Sinnott","WAS","1.2","11.3","0.1","0.0","1.7"
"Foster Moreau","NO","1.1","11.2","0.1","0.0","1.7"
"Tommy Tremble","CAR","1.0","10.2","0.1","0.0","1.5"
"Elijah Higgins","ARI","1.0","9.7","0.1","0.0","1.3"
"Terrance Ferguson","LAR","0.9","9.0","0.1","0.0","1.3"
"Luke Musgrave","GB","0.9","9.6","0.1","0.0","1.3"
"Josh Oliver","MIN","0.8","7.8","0.1","0.0","1.2"
"Cade Stover","HOU","0.9","8.9","0.1","0.0","1.2"
"Oronde Gadsden II","LAC","0.8","8.2","0.1","0.0","1.2"
"Adam Trautman","DEN","0.7","6.9","0.1","0.0","1.1"
"Charlie Kolar","BAL","0.7","7.0","0.1","0.0","1.1"
"Josh Whyle","TEN","0.8","7.8","0.1","0.0","1.1"
"Luke Schoonmaker","DAL","0.8","7.4","0.1","0.0","1.0"
"Gunnar Helm","TEN","0.7","7.2","0.0","0.0","1.0"
"Grant Calcaterra","PHI","0.6","5.9","0.1","0.0","0.9"
"Daniel Bellinger","NYG","0.7","6.2","0.0","0.0","0.9"
"Jeremy Ruckert","NYJ","0.7","6.1","0.0","0.0","0.8"
"Colby Parkinson","LAR","0.5","5.2","0.0","0.0","0.8"
"Julian Hill","MIA","0.5","4.6","0.1","0.0","0.8"
"Charlie Woerner","ATL","0.5","4.4","0.0","0.0","0.7"
"Darnell Washington","PIT","0.5","5.0","0.0","0.0","0.7"
"Stone Smartt","NYJ","0.5","5.2","0.0","0.0","0.7"
"Brevyn Spann-Ford","DAL","0.4","4.2","0.0","0.0","0.7"
"Payne Durham","TB","0.4","4.0","0.0","0.0","0.6"
"Jaheim Bell","NE","0.4","4.1","0.0","0.0","0.6"
"Brevin Jordan","HOU","0.4","4.1","0.0","0.0","0.6"
"Ben Yurosek","MIN","0.6","6.2","0.0","0.0","0.6"
"Tanner Hudson","CIN","0.4","4.0","0.0","0.0","0.6"
"Devin Culp","TB","0.4","4.1","0.0","0.0","0.6"
"John Bates","WAS","0.3","3.1","0.0","0.0","0.6"
"Taysom Hill","NO","0.1","0.6","0.0","0.0","0.6"
"Drew Sample","CIN","0.4","3.4","0.0","0.0","0.5"
"Johnny Mundt","JAC","0.4","3.6","0.0","0.0","0.5"
"Lucas Krull","DEN","0.4","4.3","0.0","0.0","0.5"
"Kylen Granson","PHI","0.3","4.2","0.0","0.0","0.5"
"Mitchell Evans","CAR","0.4","4.2","0.0","0.0","0.4"
"Tucker Fisk","LAC","0.3","2.5","0.0","0.0","0.4"
"Jackson Hawes","BUF","0.4","3.9","0.0","0.0","0.4"
"Eric Saubert","SEA","0.3","2.7","0.0","0.0","0.4"
"Mo Alie-Cox","IND","0.3","3.0","0.0","0.0","0.4"
"Tip Reiman","ARI","0.3","3.2","0.0","0.0","0.4"
"Brock Wright","DET","0.2","2.3","0.0","0.0","0.4"
"Harrison Bryant","PHI","0.4","3.0","0.0","0.0","0.3"
"Ian Thomas","LV","0.2","2.3","0.0","0.0","0.3"
"Luke Farrell","SF","0.2","2.2","0.0","0.0","0.3"
"Will Mallory","IND","0.3","2.8","0.0","0.0","0.3"
"Durham Smythe","CHI","0.3","2.2","0.0","0.0","0.3"
"Davis Allen","LAR","0.2","1.9","0.0","0.0","0.2"
"Pharaoh Brown","MIA","0.2","1.9","0.0","0.0","0.2"
"Jared Wiley","KC","0.1","1.2","0.0","0.0","0.2"
"John Stephens Jr.","DAL","0.1","1.2","0.0","0.0","0.2"
"Cam Grandy","CIN","0.1","1.2","0.0","0.0","0.2"
"Tanner Conner","MIA","0.1","1.2","0.0","0.0","0.2"
"Chris Manhertz","NYG","0.1","1.2","0.0","0.0","0.2"
"Brenden Bates","CLE","0.1","1.2","0.0","0.0","0.2"
"Gavin Bartholomew","MIN","0.1","1.1","0.0","0.0","0.2"
"Hunter Long","JAC","0.1","1.1","0.0","0.0","0.2"
"Blake Whiteheart","CLE","0.1","1.1","0.0","0.0","0.2"
"Drew Ogletree","IND","0.1","1.4","0.0","0.0","0.2"
"Nate Adkins","DEN","0.1","1.1","0.0","0.0","0.2"
"David Martin-Robinson","TEN","0.1","1.1","0.0","0.0","0.2"
"Feleipe Franks","ATL","0.1","1.1","0.0","0.0","0.2"
"Zach Davidson","BUF","0.1","1.0","0.0","0.0","0.2"
"Connor Heyward","PIT","0.1","1.0","0.0","0.0","0.2"
"Jack Stoll","NO","0.1","1.0","0.0","0.0","0.2"
"Kenny Yeboah","DET","0.1","1.3","0.0","0.0","0.1"
"Quintin Morris","JAC","0.1","0.9","0.0","0.0","0.1"
"Robert Tonyan","KC","0.0","0.0","0.0","0.0","0.0"
"Nick Vannett","MIN","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","SF","0.0","0.0","0.0","0.0","0.0"
"Irv Smith Jr.","HOU","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","WAS","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","WAS","0.0","0.0","0.0","0.0","0.0"
"Matt Sokol","BUF","0.0","0.0","0.0","0.0","0.0"
"Giovanni Ricci","MIN","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","CAR","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","IND","0.0","0.0","0.0","0.0","0.0"
"Greg Dulcich","NYG","0.0","0.0","0.0","0.0","0.0"
"Ko Kieft","TB","0.0","0.0","0.0","0.0","0.0"
"Teagan Quitoriano","ATL","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","WAS","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","GB","0.0","0.0","0.0","0.0","0.0"
"Nick Muse","PHI","0.0","0.0","0.0","0.0","0.0"
"James Mitchell","CAR","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","ATL","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","PHI","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","0.0","0.0","0.0","0.0","0.0"
"Zack Kuntz","NYJ","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","0.0","0.0","0.0","0.0","0.0"
"Ben Sims","GB","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
"Travis Vokolek","ARI","0.0","0.0","0.0","0.0","0.0"
"Cole Fotheringham","NE","0.0","0.0","0.0","0.0","0.0"
"Erick All Jr.","CIN","0.0","0.0","0.0","0.0","0.0"
"Tanner McLachlan","CIN","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","TEN","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","0.0","0.0","0.0","0.0","0.0"
"Baylor Cupp","BAL","0.0","0.0","0.0","0.0","0.0"
"Jack Westover","NE","0.0","0.0","0.0","0.0","0.0"
"Luke Lachey","HOU","0.0","0.0","0.0","0.0","0.0"
"Thomas Fidone II","NYG","0.0","0.0","0.0","0.0","0.0"
"Caleb Lohner","DEN","0.0","0.0","0.0","0.0","0.0"
"Moliki Matavao","NO","0.0","0.0","0.0","0.0","0.0"
"Dalton Keene","HOU","0.0","0.0","0.0","0.0","0.0"
"Stephen Sullivan","CAR","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","MIA","0.0","0.0","0.0","0.0","0.0"
""
""
