"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","6.7","86.4","0.7","0.2","1.2","0.0","0.1","12.8"
"Justin Jefferson","MIN","6.5","87.0","0.5","0.0","0.4","0.0","0.1","11.9"
"CeeDee Lamb","DAL","6.5","77.9","0.4","0.5","3.6","0.0","0.1","10.9"
"Puka Nacua","LAR","6.1","78.5","0.4","0.8","4.4","0.1","0.1","10.8"
"Malik Nabers","NYG","6.1","79.1","0.4","0.2","1.6","0.0","0.1","10.7"
"Brian Thomas Jr.","JAC","5.5","77.2","0.5","0.3","1.4","0.0","0.1","10.7"
"A.J. Brown","PHI","5.2","77.1","0.5","0.0","0.0","0.0","0.1","10.5"
"Nico Collins","HOU","5.4","77.0","0.5","0.0","0.1","0.0","0.1","10.4"
"Amon-Ra St. Brown","DET","6.7","74.3","0.5","0.3","1.3","0.0","0.1","10.2"
"Xavier Worthy","KC","4.7","61.1","0.5","1.3","6.4","0.1","0.0","10.0"
"Mike Evans","TB","4.8","65.2","0.6","0.0","0.0","0.0","0.0","9.8"
"Drake London","ATL","5.6","69.5","0.5","0.0","0.3","0.0","0.1","9.6"
"Terry McLaurin","WAS","4.9","66.8","0.5","0.1","0.5","0.0","0.1","9.5"
"Tee Higgins","CIN","5.1","64.1","0.5","0.0","0.0","0.0","0.1","9.3"
"Tyreek Hill","MIA","5.3","67.1","0.4","0.5","1.4","0.0","0.1","9.2"
"Ladd McConkey","LAC","5.5","68.7","0.4","0.0","0.2","0.0","0.1","9.1"
"Marvin Harrison Jr.","ARI","4.5","63.5","0.4","0.0","0.0","0.0","0.1","8.8"
"Jameson Williams","DET","3.8","61.2","0.3","0.6","4.3","0.1","0.0","8.8"
"Zay Flowers","BAL","4.5","62.2","0.4","0.6","3.1","0.0","0.0","8.7"
"Davante Adams","LAR","4.7","60.5","0.5","0.0","0.0","0.0","0.0","8.7"
"Courtland Sutton","DEN","4.3","58.1","0.5","0.0","0.0","0.0","0.1","8.6"
"Jaxon Smith-Njigba","SEA","5.2","61.4","0.4","0.4","2.1","0.0","0.1","8.6"
"DK Metcalf","PIT","4.3","61.8","0.4","0.0","0.0","0.0","0.1","8.4"
"Travis Hunter","JAC","4.5","58.4","0.4","0.3","1.8","0.0","0.0","8.4"
"DJ Moore","CHI","4.9","58.9","0.4","0.5","2.8","0.0","0.1","8.2"
"George Pickens","DAL","4.1","58.4","0.4","0.1","0.8","0.0","0.1","8.1"
"DeVonta Smith","PHI","4.9","58.7","0.4","0.0","0.2","0.0","0.0","8.1"
"Calvin Ridley","TEN","3.9","57.2","0.3","0.5","2.6","0.0","0.0","8.0"
"Tetairoa McMillan","CAR","4.4","58.2","0.4","0.0","0.8","0.0","0.0","7.9"
"Deebo Samuel Sr.","WAS","3.7","48.5","0.3","1.7","8.2","0.1","0.1","7.7"
"Jauan Jennings","SF","4.4","59.3","0.3","0.0","0.0","0.0","0.1","7.7"
"Jerry Jeudy","CLE","4.7","61.7","0.3","0.0","0.1","0.0","0.1","7.7"
"Garrett Wilson","NYJ","4.8","59.0","0.3","0.3","1.7","0.0","0.1","7.7"
